68;Abóbora, moranga, refogada;0,1;0,2;0,4;;;0,09;0,03;Tr;Tr;;68;;;0,19;;0,40;0,05;;;;;;NA
70;Abobrinha, italiana, cozida;0,1;Tr;0,1;;;0,05;Tr;Tr;Tr;Tr;70;;;Tr;;0,03;0,03;;;;;;NA
72;Abobrinha, italiana, refogada;0,1;0,2;0,5;;;0,10;0,03;Tr;Tr;Tr;72;;;0,18;;0,40;0,06;;;;;;NA
81;Alfavaca, crua;0,1;Tr;0,2;Tr;Tr;0,11;0,02;Tr;Tr;Tr;81;;0,01;0,01;;0,04;0,16;;;;;;NA
85;Almeirão, refogado;0,8;1,1;2,6;;;0,53;0,19;0,02;0,02;Tr;85;;Tr;1,11;0,03;2,30;0,35;;;;;;0,04
90;Batata, frita, tipo chips, industrializada;12,9;11,9;4,0;0,10;0,25;10,98;1,30;0,11;0,02;0,02;90;;0,04;11,83;0,05;3,85;0,09;;;;;0,02;0,09
93;Batata, inglesa, frita;2,1;3,4;6,6;;0,01;1,41;0,52;0,05;0,06;0,01;93;;0,01;3,31;0,06;6,29;0,30;;;;;;0,07
94;Batata, inglesa, sauté;0,3;0,2;0,4;0,02;0,01;0,19;0,07;Tr;Tr;;94;;;0,20;;0,33;0,03;;;;;;NA
99;Biscoito, polvilho doce;2,4;4,3;0,6;;0,03;1,48;0,80;0,05;0,05;0,02;99;; ;4,25;0,01;0,56;;;;;;4,05;0,40
100;Brócolis, cozido;0,1;Tr;0,2;;Tr;0,08;0,01;Tr;Tr;Tr;100;Tr;0,01;0,02;;0,06;0,10;;;;;;Tr
101;Brócolis, cru;0,1;0,1;0,2;;;0,12;0,02;Tr;;Tr;101;;0,02;0,04;;0,07;0,12;;;;;;NA
104;Caruru, cru;0,1;Tr;0,3;Tr;Tr;0,13;0,01;;Tr;Tr;104;;0,02;0,03;;0,09;0,17;;;;;;NA
105;Catalonha, crua;0,1;Tr;0,1;Tr;;0,06;Tr;Tr;Tr;Tr;105;;Tr;Tr;;0,04;0,10;;;;;;NA
106;Catalonha, refogada;0,7;1,1;3,0;;;0,51;0,15;0,02;0,02;0,01;106;;0,01;1,04;0,02;2,48;0,48;;;;;;0,01
109;Cenoura, cozida;Tr;Tr;0,1;;;0,03;Tr;;;;109;; ;Tr;;0,12;Tr;;;;;;NA
115;Couve, manteiga, crua;0,1;Tr;0,1;;;0,10;0,02;;;;115;;0,02;0,02;;0,05;0,08;;;;;;NA
116;Couve, manteiga, refogada ;1,0;1,6;3,6;;;0,70;0,25;0,03;0,03;0,01;116;;;1,52;0,04;3,16;0,38;;;;;;NA
118;Couve-flor, cozida;0,1;Tr;0,1;;;0,06;Tr;Tr;;;118;;Tr;0,02;;0,06;0,06;;;;;;NA
120;Espinafre, Nova Zelândia, refogado;0,9;1,3;2,9;;;0,60;0,22;0,02;0,03;0,02;120;;Tr;1,27;0,04;2,55;0,38;;;;;;0,04
121;Farinha, de mandioca, crua;0,1;0,1;Tr;Tr;Tr;0,08;0,02;Tr;Tr;Tr;121;Tr;Tr;0,08;Tr;0,03;0,01;;;;;Tr;0,10
122;Farinha, de mandioca, torrada;0,1;0,1;Tr;Tr;0,03;0,09;0,01;;;;122;;;0,08;;0,03;0,01;;;;;;NA
123;Farinha, de puba;0,2;0,2;Tr;;;0,20;0,02;;;;123;;;0,19;;0,04;;;;;;;NA
126;Inhame, cru;0,1;Tr;0,1;;;0,08;Tr;Tr;Tr;Tr;126;;;0,04;;0,08;Tr;;;;;;NA
127;Jiló, cru;0,1;0,1;0,2;;;0,05;0,02;Tr;Tr;Tr;127;;Tr;0,05;;0,20;Tr;;;;;;NA
128;Jurubeba, crua;0,5;0,5;2,1;;;0,29;0,13;0,01;0,01;0,01;128;;0,03;0,48;Tr;2,09;0,03;;;;;;NA
129;Mandioca, cozida;0,1;0,1;0,1;;;0,07;Tr;;;;129;;;0,10;;0,05;0,01;;;;;;NA
130;Mandioca, crua;0,1;0,1;Tr;;;0,06;Tr;Tr;Tr;Tr;130;;Tr;0,12;Tr;0,04;Tr;;;;;Tr;NA
131;Mandioca, farofa, temperada;1,9;2,4;2,5;Tr;0,03;1,26;0,54;0,03;0,02;0,01;131;;0,04;2,38;0,02;2,29;0,19;;;;;0,49;0,14
132;Mandioca, frita;1,7;2,8;6,2;;;1,20;0,38;0,03;0,05;0,02;132;;;2,73;0,05;5,58;0,57;;;;;;0,04
133;Manjericão, cru;0,1;Tr;0,3;;;0,11;0,02;Tr;;;133;;0,02;0,01;;0,05;0,21;;;;;;NA
136;Nhoque, batata, cozido;0,6;0,5;0,8;0,02;0,01;0,40;0,15;Tr;Tr;Tr;136;;0,01;0,47;Tr;0,72;0,05;Tr;;;;;NA
138;Palmito, Juçara, em conserva;0,1;Tr;0,1;Tr;Tr;0,07;Tr;Tr;Tr;0,01;138;;;0,03;;0,09;0,01;;;;;;Tr
141;Pão, de queijo, cru;3,4;3,0;4,1;0,08;0,29;2,00;0,74;0,03;0,03;;141;0,03;0,08;2,92; ;3,67;0,36;;;;;0,63;0,12
151;Repolho, roxo, refogado;0,2;0,3;0,7;;;0,15;0,04;Tr;Tr;Tr;151;;;0,28;Tr;0,61;0,07;;;;;;Tr
153;Salsa, crua;0,1;Tr;0,2;;;0,08;Tr;Tr;Tr;Tr;153;;Tr;0,02;;0,11;0,09;;;Tr;;;NA
154;Seleta de legumes, enlatada;0,1;0,2;0,2;;;0,10;0,03;Tr;Tr;Tr;154;;;0,22;;0,20;0,01;;;;;Tr;Tr
155;Serralha, crua;0,1;0,1;0,3;Tr;Tr;0,13;0,02;0,02;0,02;Tr;155;; ;0,04;;0,07;0,26;;;;;;NA
156;Taioba, crua;0,2;0,1;0,4;Tr;Tr;0,18;0,04;0,02;Tr;0,01;156;;0,02;0,05;;0,12;0,25;;;;;;NA
159;Tomate, molho industrializado;0,1;0,1;0,2;Tr;Tr;0,06;0,02;Tr;Tr;Tr;159;;Tr;0,09;Tr;0,17;0,02;;;;;Tr;Tr
163;Abacate, cru;2,3;4,3;1,4;;0,01;2,20;0,10;0,02;;;163;;0,20;4,12;0,02;1,29;0,08;;;;;;NA
166;Abiu, cru;0,3;0,1;0,1;;;0,30;0,03;;;;166;;;0,11;;0,10;0,02;;;;;;NA
167;Açaí, polpa, com xarope de guaraná e glucose;0,7;1,9;0,3;;Tr;0,58;0,07;Tr;;;167;;0,07;1,88;Tr;0,30;0,02;;;;;;NA
168;Açaí, polpa, congelada;0,7;2,0;0,4;;Tr;0,66;0,07;Tr;;;168;;0,08;1,93;;0,35;0,02;;;;;;NA
173;Ameixa, em calda, enlatada, drenada ;0,1;Tr;0,1;;;0,07;0,02;0,01;;;173;;;0,03;0,01;0,07;0,01;;;;;;NA
